ID,Jogador,Partidas,Vitórias,Derrotas,Aproveitamento,Média pontos,Média sofridos,Jogos como J1,Jogos como J2
J0001,Alina Kurtenko,5,3,2,0.6,38.2,34.4,0,5
J0002,Anastasiya Volgina,2,2,0,1,42,34,1,1
J0003,Anna Rzhevska,5,2,3,0.4,34.4,34,5,0
J0004,Dronova Ulana,9,7,2,0.7777777777777778,37.111111111111114,29.22222222222222,6,3
J0005,Gorchakova Anna,2,0,2,0,35,43,0,2
J0006,Kateryna Bondarenko,2,1,1,0.5,32,31,2,0
J0007,Margarita Gordeets,2,2,0,1,41,33.5,0,2
J0008,Nadiia Harmash,3,0,3,0,33.333333333333336,41.333333333333336,0,3
J0009,Oleksandra Ivchenko,2,1,1,0.5,35.5,40,1,1
J0010,Plashchynska Anhelina,4,4,0,1,43.5,37,2,2
J0011,Shevchuk Viktoria,2,0,2,0,42.5,46.5,2,0
J0012,Svitlana Yureneva,8,2,6,0.25,30.125,35.5,2,6
J0013,Victoria Kurtenko,5,1,4,0.2,30.2,37.6,4,1
J0014,Yana Mykhailyk,9,5,4,0.5555555555555556,36,37.55555555555556,5,4
