id,data,hora,dia_semana,jogador_1,jogador_2,sets_j1,sets_j2
4806,2026-07-15,00:05,Quarta-feira,Jerzy Michalik,Dawid Pyrek,1,3
4642,2026-07-15,00:10,Quarta-feira,Jakub Nowak,Marian Lebek,0,3
1142,2026-07-15,00:15,Quarta-feira,Mateusz Sikon,Pawel Slosarczyk,3,0
3081,2026-07-15,00:15,Quarta-feira,Maciej Kolek,Jakub Glanowski,3,2
7161,2026-07-15,00:15,Quarta-feira,Stapor Rafal,Karol Sulkowski,1,3
8249,2026-07-15,00:15,Quarta-feira,Dimitrij Prokopcov,Szymon Kolasa,0,3
3406,2026-07-15,00:30,Quarta-feira,Rafal Gajda,Karol Jablonski,3,2
9360,2026-07-15,00:35,Quarta-feira,Dawid Kosmal,Jakub Glanowski,2,3
9429,2026-07-15,00:35,Quarta-feira,Rafal Idaczyk,Robert Szymik,3,2
2002,2026-07-15,00:40,Quarta-feira,Kamil Rudomina,Bartek Sulkowski,2,3
8193,2026-07-15,00:40,Quarta-feira,Pawel Adamus,Pawel Kurek,2,3
8872,2026-07-15,00:40,Quarta-feira,Artur Grela,Adrian Wiecek,3,2
8726,2026-07-15,00:55,Quarta-feira,Michal Oracz,Kacper Adamus,1,3
2432,2026-07-15,01:00,Quarta-feira,Grzegorz Poliniewicz,Maciej Kolek,3,1
8353,2026-07-15,01:00,Quarta-feira,Michal Paszkiewicz,Jakub Nowak,1,3
1848,2026-07-15,01:05,Quarta-feira,Marcin Jadczyk,Dawid Michna,3,1
4644,2026-07-15,01:05,Quarta-feira,Andrzej Krezel,Sebastian Szostok,1,3
9603,2026-07-15,01:05,Quarta-feira,Stapor Rafal,Bartek Sulkowski,1,3
7340,2026-07-15,01:20,Quarta-feira,Sebastian Juzek,Kamil Smolka,1,3
3744,2026-07-15,01:25,Quarta-feira,Lukasz Oracz,Marian Lebek,3,0
6178,2026-07-15,01:25,Quarta-feira,Dawid Kosmal,Maciej Kolek,3,1
3486,2026-07-15,01:30,Quarta-feira,Mateusz Sikon,Pawel Kurek,3,1
4022,2026-07-15,01:30,Quarta-feira,Dimitrij Prokopcov,Adrian Wiecek,1,3
7841,2026-07-15,01:30,Quarta-feira,Karol Sulkowski,Kamil Rudomina,0,3
2492,2026-07-15,01:45,Quarta-feira,Rafal Idaczyk,Jakub Nowak,3,2
3872,2026-07-15,01:45,Quarta-feira,Rafal Gajda,Michal Oracz,3,1
1493,2026-07-15,01:50,Quarta-feira,Jakub Glanowski,Grzegorz Poliniewicz,3,2
2793,2026-07-15,01:55,Quarta-feira,Artur Grela,Marcin Jadczyk,3,1
3336,2026-07-15,01:55,Quarta-feira,Pawel Adamus,Andrzej Krezel,1,3
5408,2026-07-15,01:55,Quarta-feira,Stapor Rafal,Kamil Rudomina,2,3
3142,2026-07-15,02:10,Quarta-feira,Michal Paszkiewicz,Lukasz Oracz,1,3
6605,2026-07-15,02:10,Quarta-feira,Kamil Smolka,Karol Jablonski,2,3
3133,2026-07-15,02:15,Quarta-feira,Dawid Kosmal,Grzegorz Poliniewicz,0,3
1730,2026-07-15,02:20,Quarta-feira,Dawid Michna,Szymon Kolasa,2,3
5748,2026-07-15,02:20,Quarta-feira,Sebastian Szostok,Pawel Slosarczyk,2,3
6816,2026-07-15,02:20,Quarta-feira,Bartek Sulkowski,Karol Sulkowski,2,3
9002,2026-07-15,02:30,Quarta-feira,Sebastian Juzek,Kacper Adamus,3,1
5066,2026-07-15,02:35,Quarta-feira,Marian Lebek,Robert Szymik,3,2
4067,2026-07-15,02:40,Quarta-feira,Maciej Kolek,Jakub Glanowski,1,3
1998,2026-07-15,02:45,Quarta-feira,Mateusz Sikon,Andrzej Krezel,3,1
5521,2026-07-15,02:45,Quarta-feira,Dimitrij Prokopcov,Marcin Jadczyk,0,3
7286,2026-07-15,02:55,Quarta-feira,Michal Oracz,Karol Jablonski,3,1
5698,2026-07-15,03:00,Quarta-feira,Rafal Idaczyk,Lukasz Oracz,1,3
8098,2026-07-15,03:05,Quarta-feira,Dawid Kosmal,Jakub Glanowski,3,1
9678,2026-07-15,03:05,Quarta-feira,Adrian Wiecek,Szymon Kolasa,2,3
2189,2026-07-15,03:10,Quarta-feira,Pawel Kurek,Pawel Slosarczyk,3,1
7424,2026-07-15,03:20,Quarta-feira,Jakub Nowak,Robert Szymik,1,3
9976,2026-07-15,03:20,Quarta-feira,Rafal Gajda,Sebastian Juzek,0,3
2108,2026-07-15,03:30,Quarta-feira,Grzegorz Poliniewicz,Maciej Kolek,3,2
5025,2026-07-15,03:30,Quarta-feira,Artur Grela,Dawid Michna,3,2
7550,2026-07-15,03:35,Quarta-feira,Pawel Adamus,Sebastian Szostok,3,2
1470,2026-07-15,03:45,Quarta-feira,Michal Paszkiewicz,Marian Lebek,1,3
2970,2026-07-15,03:45,Quarta-feira,Kamil Smolka,Kacper Adamus,3,1
2932,2026-07-15,04:00,Quarta-feira,Adrian Wiecek,Krystian Kolodziej,3,0
3489,2026-07-15,04:00,Quarta-feira,Michal Minda,Dominik Solilo,3,1
3773,2026-07-15,04:00,Quarta-feira,Szymon Sporek,Karol Wisniewski,1,3
3968,2026-07-15,04:00,Quarta-feira,Andrzej Krezel,Pawel Slosarczyk,2,3
2454,2026-07-15,04:05,Quarta-feira,Michal Oracz,Sebastian Juzek,1,3
3469,2026-07-15,04:20,Quarta-feira,Artur Grela,Jakub Folwarski,2,3
4013,2026-07-15,04:20,Quarta-feira,Maciej Nowalinski,Artur Daniel,3,2
3361,2026-07-15,04:25,Quarta-feira,Jakub Zochniak,Kamil Rudomina,3,1
7352,2026-07-15,04:25,Quarta-feira,Mateusz Sikon,Sebastian Szostok,2,3
9611,2026-07-15,04:30,Quarta-feira,Rafal Gajda,Kamil Smolka,2,3
7087,2026-07-15,04:40,Quarta-feira,Dawid Michna,Marcin Jadczyk,3,1
2104,2026-07-15,04:45,Quarta-feira,Dimitrij Prokopcov,Szymon Kolasa,3,1
4236,2026-07-15,04:50,Quarta-feira,Bartek Sulkowski,Dawid Kosmal,1,3
4521,2026-07-15,04:50,Quarta-feira,Pawel Kurek,Pawel Adamus,3,0
8638,2026-07-15,04:55,Quarta-feira,Kacper Adamus,Karol Jablonski,3,2
4791,2026-07-15,05:00,Quarta-feira,Adrian Wiecek,Artur Grela,3,2
1143,2026-07-15,05:05,Quarta-feira,Szymon Sporek,Maciej Nowalinski,3,2
3294,2026-07-15,05:10,Quarta-feira,Michal Minda,Jakub Zochniak,3,1
9786,2026-07-15,05:10,Quarta-feira,Andrzej Krezel,Mateusz Sikon,2,3
7095,2026-07-15,05:20,Quarta-feira,Michal Oracz,Kamil Smolka,0,3
8123,2026-07-15,05:25,Quarta-feira,Marcin Jadczyk,Krystian Kolodziej,3,1
4112,2026-07-15,05:30,Quarta-feira,Szymon Kolasa,Karol Wisniewski,3,1
4134,2026-07-15,05:35,Quarta-feira,Dawid Kosmal,Dominik Solilo,1,3
5260,2026-07-15,05:35,Quarta-feira,Pawel Adamus,Pawel Slosarczyk,1,3
7274,2026-07-15,05:40,Quarta-feira,Sebastian Juzek,Karol Jablonski,1,3
9505,2026-07-15,05:50,Quarta-feira,Dawid Michna,Jakub Folwarski,2,3
5929,2026-07-15,05:55,Quarta-feira,Dimitrij Prokopcov,Artur Daniel,0,3
2339,2026-07-15,06:00,Quarta-feira,Pawel Kurek,Sebastian Szostok,3,2
2459,2026-07-15,06:00,Quarta-feira,Bartek Sulkowski,Kamil Rudomina,3,0
6238,2026-07-15,06:05,Quarta-feira,Rafal Gajda,Kacper Adamus,2,3
7925,2026-07-15,06:15,Quarta-feira,Artur Grela,Krystian Kolodziej,3,1
3127,2026-07-15,06:20,Quarta-feira,Maciej Nowalinski,Karol Wisniewski,3,1
2599,2026-07-15,06:25,Quarta-feira,Jakub Zochniak,Dominik Solilo,3,0
6944,2026-07-15,06:25,Quarta-feira,Mateusz Sikon,Pawel Slosarczyk,3,0
5166,2026-07-15,06:30,Quarta-feira,Kamil Smolka,Karol Jablonski,0,3
1129,2026-07-15,06:40,Quarta-feira,Adrian Wiecek,Dawid Michna,3,1
3323,2026-07-15,06:45,Quarta-feira,Szymon Sporek,Dimitrij Prokopcov,2,3
3875,2026-07-15,06:50,Quarta-feira,Michal Minda,Bartek Sulkowski,1,3
7236,2026-07-15,06:50,Quarta-feira,Andrzej Krezel,Pawel Kurek,1,3
6939,2026-07-15,06:55,Quarta-feira,Michal Oracz,Kacper Adamus,3,2
7245,2026-07-15,07:05,Quarta-feira,Marcin Jadczyk,Jakub Folwarski,3,2
1476,2026-07-15,07:10,Quarta-feira,Szymon Kolasa,Artur Daniel,3,2
1857,2026-07-15,07:15,Quarta-feira,Pawel Adamus,Sebastian Szostok,2,3
8340,2026-07-15,07:15,Quarta-feira,Dawid Kosmal,Kamil Rudomina,3,0
7161,2026-07-15,07:20,Quarta-feira,Sebastian Juzek,Rafal Gajda,3,1
4297,2026-07-15,07:30,Quarta-feira,Artur Grela,Dawid Michna,2,3
8316,2026-07-15,07:35,Quarta-feira,Maciej Nowalinski,Dimitrij Prokopcov,3,0
4057,2026-07-15,07:40,Quarta-feira,Jakub Zochniak,Bartek Sulkowski,3,2
5221,2026-07-15,07:40,Quarta-feira,Mateusz Sikon,Pawel Kurek,2,3
